M: 4
Instance: 1
Algorithm: NSGA-II
Iteration: 200
Population Size: 1000
Running Time: 5847 seconds
Distance; Skill Score; IsValid
0.952; 2.141763230275788; True; 
0.99; 2.3630475945210936; True; 
1.982; 2.5393270635393748; True; 
2.786; 2.5499836111596887; True; 
2.811; 2.760497875226527; True; 
2.959; 2.862548769524793; True; 
4.836; 2.9286006598445242; True; 
5.689; 2.955832010232422; True; 
5.787; 3.030599721965951; True; 
5.911; 3.0874264570362855; True; 
7.917; 3.1085650237328344; True; 
9.571; 3.1228709228644354; True; 
9.617; 3.165244326125311; True; 
9.699; 3.172310968521954; True; 
9.71; 3.1746411926604483; True; 
9.877; 3.2060158767633444; True; 
12.53; 3.2402995820027125; True; 
12.72; 3.276921132065774; True; 
12.86; 3.3334472744967503; True; 
14.51; 3.367355921026019; True; 
18.4; 3.369030221809153; True; 
18.46; 3.402777069610347; True; 
18.61; 3.4184670209466006; True; 
18.81; 3.452246574520437; True; 
20.41; 3.4733409641859354; True; 
25.3; 3.491221576239283; True; 
25.56; 3.4984484031739997; True; 
26.45; 3.519565500880509; True; 
27.33; 3.5330090224954853; True; 
31.34; 3.5422027824340283; True; 
32.06; 3.5477747053878224; True; 
32.2; 3.57611089412084; True; 
33.16; 3.5972562829251418; True; 
38.25; 3.61066016308988; True; 
40.9; 3.6152133348013584; True; 
40.92; 3.628695382714023; True; 
41.79; 3.643353961976863; True; 
42.75; 3.6568644915489172; True; 
48.11; 3.6655809910179533; True; 
49.76; 3.672467313068082; True; 
53.81; 3.6735737964230517; True; 
54.78; 3.685920792194535; True; 
59.67; 3.7007037171450192; True; 
63.8; 3.714162046098853; True; 
66.54; 3.718667735316211; True; 
70.67; 3.7321524180652137; True; 
73.45; 3.7353593330017105; True; 
80.57; 3.750431248660202; True; 
